"","Team","Gm","season","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%"
"55","PHX",81,"20092010",143,128,15,52.1,106.2,71.7,7.6,92.6,50,100.2,53.1
"56","OTT",81,"20092010",141,167,-26,52,104.6,72.4,7.8,89.8,49.2,97.6,55
"57","T.B",82,"20102011",153,149,4,51.8,109.6,72.6,7.8,91.2,51.3,99.1,46.7
"58","BOS",82,"20142015",140,137,3,51.7,107.7,72.2,7.1,92.9,53.1,100,49.9
"59","CGY",81,"20092010",133,134,-1,51.8,106.4,69.6,7.5,92.3,49.3,99.8,51.9
"60","STL",82,"20142015",161,134,27,51.7,105.8,71.6,8.2,92.3,53.2,100.5,49.7
"61","CGY",82,"20102011",161,146,15,51.7,108.6,70.7,8.5,91.6,48.7,100.1,53.2
"62","CBJ",82,"20082009",153,131,22,52,97,73.9,8.7,91.7,50.7,100.4,51.8
"63","MTL",82,"20102011",134,133,1,51.6,114.8,71.8,6.8,92.9,49,99.6,51.3
"64","MTL",48,"20122013",98,77,21,52.9,109.4,71.2,8.9,92.1,50.2,101,51.1
"65","VAN",82,"20092010",174,137,37,51.7,105.7,72,9.3,92.4,51.6,101.7,49.4
"66","L.A",82,"20102011",147,136,11,51.6,106.7,68.6,8.2,92.3,50.5,100.5,50.3
"67","NSH",82,"20092010",149,142,7,51.5,105.9,70.8,7.7,92.4,49.6,100.1,46.3
"68","VAN",82,"20132014",139,142,-3,51.3,110.9,70.5,7.3,92.2,52.2,99.5,47.3
"69","WSH",82,"20142015",148,135,13,51.4,108.2,69.6,8.1,92.4,51.4,100.5,52.9
"70","S.J",82,"20142015",139,155,-16,51.2,115.4,69.4,7.1,92,51.7,99.1,48.6
"71","COL",82,"20112012",135,146,-11,51.3,110.3,73.9,6.6,92.5,51.5,99.1,50.8
"72","DET",82,"20132014",152,145,7,51.4,100.3,72.7,8.2,92,50.6,100.2,54.1
"73","ANA",82,"20142015",157,148,9,51.2,108.8,68.1,8.3,91.9,52.1,100.2,49.9
"74","FLA",82,"20142015",145,143,2,51.3,104.4,74,7.3,92.3,48.1,99.6,50.7
"75","NYR",48,"20122013",90,67,23,52,111.6,72.6,7.4,93.5,50.8,100.9,54.1
"76","WSH",81,"20102011",141,130,11,51.2,111.4,72.2,7.5,92.7,50.7,100.2,50.8
"77","STL",48,"20122013",82,78,4,52,98.5,71.6,7.8,91.4,51.7,99.3,51.3
"78","MIN",82,"20142015",165,146,19,51,107.3,72,8.5,91.8,49.5,100.2,51.1
"79","S.J",81,"20092010",162,132,30,51.1,111,70.8,8.7,92.9,54.6,101.7,48.9
"80","CAR",48,"20122013",89,105,-16,51.5,119.5,70.7,7.3,91.2,50,98.5,53.5
